ang,gain0,gain90
-180,2.06801,2.06801
-179,2.12791,1.63315
-178,2.1883,1.15579
-177,2.24769,0.63618
-176,2.30465,0.07556
-175,2.35783,-0.5231
-174,2.40601,-1.1542
-173,2.44811,-1.8078
-172,2.48318,-2.4673
-171,2.5104,-3.1074
-170,2.52908,-3.6916
-169,2.53862,-4.1734
-168,2.53848,-4.5021
-167,2.52821,-4.6358
-166,2.50742,-4.5568
-165,2.47572,-4.2784
-164,2.43281,-3.8396
-163,2.37841,-3.2897
-162,2.31229,-2.6753
-161,2.23432,-2.0333
-160,2.14447,-1.3895
-159,2.04283,-0.7607
-158,1.9297,-0.1569
-157,1.80555,0.41602
-156,1.67114,0.95539
-155,1.5275,1.45994
-154,1.37598,1.92941
-153,1.21827,2.36412
-152,1.0564,2.76465
-151,0.892714,3.13167
-150,0.729797,3.4659
-149,0.570415,3.76804
-148,0.417379,4.03876
-147,0.273397,4.27871
-146,0.140907,4.48854
-145,0.0219091,4.66888
-144,-0.0821883,4.82037
-143,-0.170673,4.9437
-142,-0.243584,5.03956
-141,-0.301701,5.10872
-140,-0.34647,5.152
-139,-0.379885,5.17025
-138,-0.404338,5.16438
-137,-0.422464,5.13535
-136,-0.436997,5.08414
-135,-0.450648,5.01171
-134,-0.466017,4.91904
-133,-0.48554,4.80702
-132,-0.511454,4.67646
-131,-0.545797,4.52804
-130,-0.59042,4.36229
-129,-0.647,4.17953
-128,-0.717064,3.97983
-127,-0.80201,3.76307
-126,-0.903116,3.52883
-125,-1.02155,3.27649
-124,-1.15835,3.0052
-123,-1.31443,2.71397
-122,-1.49054,2.40167
-121,-1.68724,2.06717
-120,-1.90487,1.70941
-119,-2.14348,1.32748
-118,-2.40283,0.92075
-117,-2.68234,0.48905
-116,-2.98105,0.03270
-115,-3.29771,-0.4472
-114,-3.63072,-0.9490
-113,-3.97832,-1.4700
-112,-4.33868,-2.0067
-111,-4.71012,-2.5549
-110,-5.09132,-3.1096
-109,-5.48165,-3.6660
-108,-5.88138,-4.2195
-107,-6.29189,-4.7661
-106,-6.7158,-5.3035
-105,-7.15694,-5.8306
-104,-7.62017,-6.3475
-103,-8.11099,-6.8546
-102,-8.63498,-7.3510
-101,-9.19684,-7.8323
-100,-9.79901,-8.2879
-99,-10.4395,-8.6989
-98,-11.1084,-9.0365
